source,target
собрание,законодательство
собранию,законодательству
историческая,обратная
исторический,обратный
финансовая,толстая
финансовый,толстый
уверенные,ужасные
уверенный,ужасный
инструмент,кризис
инструмента,кризиса
единственная,дикая
единственный,дикий
республика,характеристика
республику,характеристику
контроль,минимум
контроля,минимума
рисунка,эксперимента
рисунок,эксперимент
газета,покупка
газету,покупку
предыдущая,генеральная
предыдущий,генеральный
экономика,погода
экономику,погоду
адрес,сюжет
адресу,сюжету
толпа,тенденция
толпу,тенденцию
система,атака
систему,атаку
сексуальная,верхняя
сексуальный,верхний
назначение,озеро
назначению,озеру
положительная,практическая
положительный,практический
перед,статус
красота,тюрьма
красоту,тюрьму
вечное,доступное
вечный,доступный
слабая,независимая
слабый,независимый
объяснение,ограничение
объяснения,ограничения
гор,трудностей
горами,трудностями
площадка,серия
площадку,серию
виноватого,существенного
виноватый,существенный
слеза,температура
слезу,температуру
камера,цивилизация
камеру,цивилизацию
крупная,денежная
крупный,денежный
замечательная,редкая
замечательный,редкий
крайний,юридический
крайняя,юридическая
центр,стакан
центра,стакана
продажа,демократия
продажу,демократию
путешествие,стремление
путешествия,стремления
отказ,флот
отказа,флота
лишнее,популярное
лишний,популярный
государство,мышление
государству,мышлению
защита,суббота
защиту,субботу
физическая,очевидная
физический,очевидный
фраза,академия
фразу,академию
период,коллектив
периода,коллектива
живот,дворец
животе,дворце
культурная,деревянная
культурный,деревянный
профессию,логику
профессия,логика
длинная,школьная
длинный,школьный
яркая,космическая
яркий,космический
основание,приложение
основании,приложении
местная,грязная
местный,грязный
проверка,пятница
проверку,пятницу
убийства,кольца
убийство,кольцо
общая,обязательная
общий,обязательный
одинаковое,сельское
одинаковый,сельский
техническая,строгая
технический,строгий
знаменитая,противоположная
знаменитый,противоположный
достойное,ядерное
достойный,ядерный
кровати,подробности
кровать,подробность
мировая,уникальная
мировое,уникальное
партии,эмоции
партия,эмоция
декабрь,транспорт
декабря,транспорта
литературная,воздушная
литературный,воздушный
килограмм,штаб
килограмма,штаба
коридор,экзамен
коридора,экзамена
опытом,менеджером
опыту,менеджеру
способностей,инвестиций
способности,инвестиции
невозможное,успешное
невозможный,успешный
мощная,вынужденная
мощный,вынужденный
идею,атмосферу
идея,атмосфера
ума,офиса
уме,офисе
языках,архивах
языке,архиве
естественное,неприятное
естественный,неприятный
детский,программный
детское,программное
закон,океан
закона,океана
морская,налоговая
морское,налоговое
изменение,сохранение
изменения,сохранения
информацию,стадию
информация,стадия
младшая,летняя
младший,летний
раннее,интеллектуальное
ранний,интеллектуальный
злая,абсолютная
злое,абсолютное
рубль,семинар
рубля,семинара
текст,вуз
текста,вуза
запад,сбор
запада,сбора
профессиональное,мирное
профессиональный,мирный
сознание,колесо
сознании,колесе
недостатка,двигателя
недостаток,двигатель
творческий,длительный
творческое,длительное
дождь,талант
дождя,таланта
средний,стратегический
средняя,стратегическая
производство,сообщество
производству,сообществу
особая,рыночная
особый,рыночный
ресторан,код
ресторана,кода
югом,экипажем
югу,экипажу
структура,ассоциация
структуру,ассоциацию
стоимостью,ракетой
социальная,привычная
социальный,привычный
праздник,маршрут
праздника,маршрута
центральная,необычная
центральный,необычный
психологическая,демократическая
психологический,демократический
трудная,бесплатная
трудный,бесплатный
автобус,аргумент
автобуса,аргумента
страница,нужда
страницу,нужду
европейская,существующая
европейский,существующий
сценарий,уход
сценария,ухода
круглое,промышленное
круглый,промышленный
опасностей,бомб
опасностью,бомбой
польза,башня
пользу,башню
классический,верховный
классическое,верховное
обеспечение,поражение
обеспечения,поражения
дальнейшая,административная
дальнейший,административный
ремонт,диалог
ремонта,диалога
энергию,карточку
энергия,карточка
январь,кодекс
января,кодекса
мобильная,аналогичная
мобильный,аналогичный
номер,препарат
номером,препаратом
роман,сезон
романа,сезона
бывшая,самостоятельная
бывший,самостоятельный
небо,рассмотрение
небу,рассмотрению
судебная,всеобщая
судебный,всеобщий
компьютер,вызов
компьютера,вызова
обязательства,указания
обязательство,указание
грязь,активность
грязью,активностью
возраст,протокол
возраста,протокола
быстрая,минимальная
быстрый,минимальный
пример,мороз
примера,мороза
достаточные,партийные
достаточный,партийный
максимальная,нервная
максимальный,нервный
различий,тест
нежная,скромная
нежный,скромный
прошлой,заметной
прошлый,заметный
выступление,воображение
выступлении,воображении
родная,грубая
родные,грубые
нижний,германский
нижняя,германская
характерная,разнообразная
характерный,разнообразный
окружающая,глобальная
окружающий,глобальный
регистрацию,битву
регистрация,битва
корабль,потенциал
корабля,потенциала
правильная,ответственная
правильный,ответственный
дискуссию,палатку
дискуссия,палатка
наличие,столетие
наличия,столетия
октябрь,жанр
октября,жанра
дальний,зимний
дальняя,зимняя
публикацию,трагедию
публикация,трагедия
священного,тайного
священный,тайный
станцию,частоту
станция,частота
контекст,четверг
контекста,четверга
соответствие,финансирование
соответствия,финансирования
кампанию,идеологию
кампания,идеология
оплата,скала
оплаты,скалы
участка,вторника
участок,вторник
духовная,искусственная
духовный,искусственный
горные,крупнейшие
горный,крупнейший
налог,учебник
налога,учебника
уверенность,готовность
уверенностью,готовностью
личная,потенциальная
личный,потенциальный
паспорт,идеал
паспорту,идеалу
стратегию,конкуренцию
стратегия,конкуренция
камень,парламент
камня,парламента
соревнование,убеждение
соревнований,убеждений
беда,роза
беду,розу
странное,приличное
странный,приличный
рамка,пенсия
рамок,пенсий
восстановление,телевидение
восстановления,телевидения
значение,единство
значения,единства
сумка,статистика
сумку,статистику
намерение,десятилетие
намерении,десятилетии
достоинства,известия
достоинство,известие
смешное,печальное
смешные,печальные
существование,улучшение
существования,улучшения
требование,яблоко
требованием,яблоком
завод,прогресс
завода,прогресса
схема,корпорация
схему,корпорацию
ресурс,миф
ресурса,мифа
жалоба,дисциплина
жалобу,дисциплину
воспитание,потребление
воспитания,потребления
ответственности,подписи
ответственность,подпись
музыкальная,инвестиционная
музыкальный,инвестиционный
результат,авторитет
результата,авторитета
честное,экологическое
честный,экологический
лошадей,невест
лошадьми,невестами
файл,вклад
файла,вклада
нарушение,соображение
нарушения,соображения
предел,металл
предела,металла
производственная,неправильная
производственный,неправильный
деловая,теоретическая
деловые,теоретические
лабораторию,катастрофу
лаборатория,катастрофа
взаимодействие,окружение
взаимодействия,окружения
стандартная,справедливая
стандартный,справедливый
последующее,окончательное
последующий,окончательный
генералом,пожаром
генералу,пожару
малейшее,критическое
малейший,критический
уголовное,негативное
уголовный,негативный
форум,прогноз
форума,прогноза
железная,публичная
железный,публичный
истина,миссия
истину,миссию
работа,тонна
работу,тонну
вокзал,сахар
вокзале,сахаре
трубка,эволюция
трубку,эволюцию
типичная,удачная
типичный,удачный
гарантию,пустыню
гарантия,пустыня
обида,нагрузка
обиду,нагрузку
преимущества,сочетания
преимущество,сочетание
последствие,вооружение
последствия,вооружения
космос,гнев
космоса,гнева
концепцией,слабостью
каменное,недавнее
каменный,недавний
спина,долина
спину,долину
соседние,своеобразные
соседний,своеобразный
имущество,установление
имуществу,установлению
совместная,благородная
совместный,благородный
кресло,познание
креслу,познанию
иностранные,муниципальные
иностранный,муниципальный
сумасшедшие,эмоциональные
сумасшедший,эмоциональный
народная,мрачная
народный,мрачный
природная,виртуальная
природный,виртуальный
душевная,тесная
душевный,тесный
авторский,громкий
авторское,громкое
городская,базовая
городские,базовые
спокойная,электрическая
спокойный,электрический
еврейский,гигантский
еврейское,гигантское
материальная,дурная
материального,дурного
металлическая,вредная
металлический,вредный
западная,технологическая
западный,технологический
соглашение,блюдо
соглашения,блюда
операцию,поставку
операция,поставка
умная,закрытая
умный,закрытый
преступление,размышление
преступления,размышления
верная,математическая
верный,математический
узел,указ
узлом,указом
игрушка,община
игрушку,общину
обязанные,актуальные
обязанный,актуальный
легенда,замена
легенды,замены
сложная,образовательная
сложный,образовательный
ощущение,расследование
ощущению,расследованию
влияние,соотношение
влияния,соотношения
темнота,проза
темноту,прозу
администрацию,поправку
администрация,поправка
облако,взаимоотношение
облаков,взаимоотношений
мнение,укрепление
мнения,укрепления
больница,пещера
больницу,пещеру
философские,энергетические
философский,энергетический
частная,всемирная
частный,всемирный
торговая,совершенная
торговый,совершенный
коммерческая,талантливая
коммерческий,талантливый
напитка,матча
напиток,матч
дыхание,подтверждение
дыхания,подтверждения
ручка,элита
ручку,элиту
семейная,любопытная
семейный,любопытный
мудро,решительно
министерства,послания
министерство,послание
радость,весть
фронт,склон
фронта,склона
зрение,любопытство
зрения,любопытства
элемент,ритм
элемента,ритма
интернет,нерв
интернета,нерва
журналист,гений
журналиста,гения
пулю,державу
пуля,держава
голое,радостное
голый,радостный
исходная,наибольшая
исходный,наибольший
бедное,ограниченное
бедный,ограниченный
сплошная,бытовая
сплошной,бытовой
запрет,домик
запрета,домика
постоянная,бюджетная
постоянный,бюджетный
рекламное,повышенное
рекламный,повышенный
дума,валюта
думу,валюту
банковская,системная
банковский,системный
сухого,неизбежного
сухое,неизбежное
культура,куртка
культуру,куртку
скорое,ровное
скорый,ровный
сказка,копейка
сказки,копейки
словарь,чемодан
словаря,чемодана
сражение,отчаяние
сражения,отчаяния
цикл,фрагмент
цикла,фрагмента
отличие,семейство
отличий,семейств
остатка,социализма
остаток,социализм
резкая,благоприятная
резкий,благоприятный
введение,равновесие
введения,равновесия
союзе,следователе
союзу,следователю
ожидание,посольство
ожидании,посольстве
новость,производительность
новостью,производительностью
надежда,консультация
надежду,консультацию
перевод,платок
перевода,платка
революционные,таинственные
революционный,таинственный
индивидуальная,коллективная
индивидуальный,коллективный
уважаемого,биологического
уважаемый,биологический
химическая,посторонняя
химический,посторонний
волшебные,грустные
волшебный,грустный
взаимная,либеральная
взаимный,либеральный
христианская,обширная
христианский,обширный
формула,выплата
формулу,выплату
секс,снимок
секса,снимка
процедура,ложка
процедуру,ложку
действие,топливо
действием,топливом
явная,бессмысленная
явный,бессмысленный
юные,строительные
юный,строительный
фамилию,монету
фамилия,монета
училища,несчастья
училище,несчастье
позднее,специфическое
поздний,специфический
продукт,вирус
продукта,вируса
опытные,бурные
опытный,бурный
салон,минус
салоном,минусом
компонент,резерв
компонента,резерва
беременности,морали
беременность,мораль
взгляд,тариф
взгляда,тарифа
полковник,робот
полковника,робота
жест,локоть
жестом,локтем
противоречие,регулирование
противоречии,регулировании
коммунистическая,формальная
коммунистический,формальный
издательство,привлечение
издательством,привлечением
департамент,чемпионат
департамента,чемпионата
единица,доставка
единицу,доставку
вера,гипотеза
веру,гипотезу
эксплуатацию,колонию
эксплуатация,колония
блок,лозунг
блока,лозунга
следствие,страхование
следствию,страхованию
важная,принципиальная
важный,принципиальный
проект,турнир
проекта,турнира
комментарий,грузовик
комментария,грузовика
определение,болото
определения,болота
переход,интеллект
перехода,интеллекта
балкон,перечень
балкона,перечня
претензий,рас
претензия,раса
философию,крышку
философия,крышка
июнь,желудок
июня,желудка
крыша,тактика
крышу,тактику
универсальные,стеклянные
универсальный,стеклянный
бесконечные,чеченские
бесконечный,чеченский
этаж,тезис
этажа,тезиса
учебные,значимые
учебный,значимый
величина,компенсация
величину,компенсацию
количество,христианство
количеству,христианству
церковь,медаль
церковью,медалью
воспоминание,ведомство
воспоминанием,ведомством
письменная,педагогическая
письменный,педагогический
первоначальная,правительственная
первоначальный,правительственный
отель,развод
отеля,развода
подходящее,безопасное
подходящий,безопасный
муха,девочка
муху,девочку
туалет,капитализм
туалета,капитализма
громадная,весенняя
громадный,весенний
корпоративные,фантастические
корпоративный,фантастический
исполнительные,кредитные
исполнительный,кредитный
разница,картошка
разницу,картошку
готовое,загадочное
готовый,загадочный
рубеж,конгресс
рубежа,конгресса
остальная,идеологическая
термин,штраф
термина,штрафа
торжественная,испанская
торжественный,испанский
мудрый,решительный
присущее,прошедшее
присущий,прошедший
палец,приоритет
пальца,приоритета
нож,бензин
ножа,бензина
возможного,ленинградского
возможный,ленинградский
страдание,вмешательство
страдания,вмешательства
жуткая,элементарная
жуткий,элементарный
подразделение,усиление
подразделения,усиления
симпатичная,турецкая
симпатичный,турецкий
незначительное,неверное
незначительный,неверный
узкий,незаконный
узкое,незаконное
густая,президентская
густые,президентские
несчастная,исключительная
несчастный,исключительный
отрасли,национальности
отрасль,национальность
радиостанций,церемоний
радиостанция,церемония
постановление,возбуждение
постановления,возбуждения
конфликт,экспорт
конфликта,экспорта
оперативная,худшая
оперативный,худший
нравственная,конституционная
нравственный,конституционный
очереди,стабильности
очередь,стабильность
позитивная,альтернативная
позитивный,альтернативный
глухим,функциональным
глухих,функциональных
пустота,интерпретация
пустоту,интерпретацию
предположение,железо
предположения,железа
пьяного,целевого
пьяные,целевые
удовлетворение,разнообразие
удовлетворением,разнообразием
колонн,травм
колонну,травму
искренний,скучный
искренняя,скучная
премию,интеллигенцию
премия,интеллигенция
отечественное,полноценное
отечественный,полноценный
ванна,речка
ванну,речку
зависимости,совокупности
зависимость,совокупность
приглашение,величество
запаса,диагноза
запасом,диагнозом
передача,иллюстрация
передачей,иллюстрацией
вино,возрождение
вину,возрождению
всевозможные,сотовые
всевозможный,сотовый
пачка,интеграция
пачку,интеграцию
забавная,гуманитарная
забавный,гуманитарный
важнейшее,решающее
важнейший,решающий
выбор,ноготь
мяч,инстинкт
совет,топор
совета,топора
предприятие,воплощение
предприятия,воплощения
грамм,ремень
грамма,ремня
подъезд,коммунизм
подъезда,коммунизма
солидную,наилучшую
солидный,наилучший
римские,подземные
римский,подземный
объективная,нелепая
объективный,нелепый
хор,индекс
хора,индекса
акт,сосуд
акта,сосуда
дневник,хаос
дневника,хаоса
противное,трагическое
противный,трагический
мышц,реплик
мышца,реплика
сектор,ритуал
сектору,ритуалу
ступени,вечности
ступень,вечность
предварительная,организационная
предварительный,организационный
февраль,дефицит
февраля,дефицита
спокойствие,поддержание
спокойствия,поддержания
данные,программирование
данным,программированию
холодильник,сеанс
холодильники,сеансы
внимательного,телевизионного
внимательный,телевизионный
преобразование,освоение
преобразования,освоения
вечерний,относительный
вечерняя,относительная
контракт,кирпич
контракта,кирпича
грань,невозможность
гранью,невозможностью
зарубежные,механические
зарубежный,механический
принятие,раздражение
принятием,раздражением
одежда,инфляция
одежду,инфляцию
религиозное,локальное
религиозный,локальный
аренда,ширина
аренду,ширину
редакцию,модернизацию
редакция,модернизация
рецепт,митинг
рецепта,митинга
сестра,поэма
атомная,газовая
атомный,газовый
конференцию,орбиту
конференция,орбита
руль,суп
руля,супа
знание,объятие
знания,объятия
направление,разочарование
направлению,разочарованию
столкновении,оке
столкновению,ока
лечение,совершенствование
лечения,совершенствования
земельные,прочные
земельный,прочный
подарка,фильтра
подарок,фильтр
разрешение,мужество
разрешения,мужества
прозрачные,стабильные
прозрачный,стабильный
обыкновенного,жирного
обыкновенный,жирный
гордые,гладкие
гордый,гладкий
областная,адекватная
областного,адекватного
танковые,таможенные
танковый,таможенный
детали,продолжительности
деталь,продолжительность
украшение,предпочтение
украшения,предпочтения
галерею,депрессию
галерея,депрессия
источник,овощ
источники,овощи
пособие,сновидение
пособий,сновидений
ясные,виновные
ясный,виновный
изображение,проживание
изображения,проживания
отряд,симптом
отряда,симптома
видное,болезненное
видный,болезненный
том,терроризм
тому,терроризму
разведка,делегация
разведкой,делегацией
фотографий,окраин
фотография,окраина
железнодорожные,потребительские
железнодорожный,потребительский
конечная,парламентская
конечный,парламентский
товарного,деревенского
товарный,деревенский
тарелка,нота
тарелке,ноте
бригада,альтернатива
бригаду,альтернативу
выставка,героиня
выставку,героиню
жестокий,перспективный
жестокое,перспективное
подбородке,гараже
подбородок,гараж
журнал,ген
журнала,гена
невероятное,преступное
невероятный,преступный
терпение,крыльцо
терпения,крыльца
жаркий,комплексный
жаркой,комплексной
нефтяная,звуковая
нефтяной,звуковой
транспортная,чудовищная
транспортный,чудовищный
снижение,совершение
снижения,совершения
происхождение,недоумение
происхождении,недоумении
разумное,армейское
разумный,армейский
арабский,неизменный
арабской,неизменной
оппозицию,винтовку
оппозиция,винтовка
земного,долгосрочного
земную,долгосрочную
баланс,сюрприз
балансом,сюрпризом
колхоз,довод
колхозы,доводы
увлечение,окошко
драгоценные,аналитические
драгоценный,аналитический
цифра,паника
цифру,панику
бесполезный,осторожный
бесполезными,осторожными
моральное,этническое
моральный,этнический
механизм,плакат
механизме,плакате
скандал,заработок
скандала,заработка
разорвать,угадать
вещества,восстания
вещество,восстание
вечеринка,дверца
вечеринки,дверцы
символ,импульс
символа,импульса
препятствие,приготовление
препятствия,приготовления
ограничивается,сопровождается
ограничиваться,сопровождаться
субъективная,убитая
субъективный,убитый
отпуск,убыток
отпусков,убытков
рассказ,энтузиазм
рассказа,энтузиазма
месяц,допрос
месяца,допроса
виска,ислама
висок,ислам
точность,неожиданность
точностью,неожиданностью
подробное,недостаточное
подробный,недостаточный
республиканский,смертельный
республиканского,смертельного
гражданская,чрезвычайная
гражданский,чрезвычайный
классная,защитная
классный,защитный
протяжение,равенство
протяжении,равенстве
формат,культ
формата,культа
благе,писании
итог,континент
итога,континента
коренное,встречное
коренному,встречному
шанс,бомбардировщик
шанса,бомбардировщика
подлинное,агрессивное
подлинный,агрессивный
отвратительная,индийская
отвратительный,индийский
текущее,колоссальное
текущий,колоссальный
ошибка,перчатка
ошибку,перчатку
ложная,предельная
ложный,предельный
расстояние,прибытие
расстояния,прибытия
провинцию,формулировку
провинция,формулировка
борода,аналогия
бородой,аналогией
понимание,содействие
понимания,содействия
экспертиза,колбаса
экспертизе,колбасе
записка,корзина
записку,корзину
ночная,фактическая
ночное,фактическое
версию,иерархию
версия,иерархия
объект,стресс
объекта,стресса
очередная,экспериментальная
очередные,экспериментальные
воскресенье,полотенце
самоубийства,изложения
самоубийство,изложение
великолепное,цивилизованное
великолепный,цивилизованный
молочного,невысокого
молочный,невысокий
горький,последовательный
горького,последовательного
группировка,статуя
группировки,статуи
госпиталь,распад
госпиталя,распада
отверстие,прекращение
отверстия,прекращения
куча,грамота
кучи,грамоты
милицию,химию
милиция,химия
внимание,тысячелетие
максимум,стыд
максимума,стыда
мокрые,автономные
мокрый,автономный
доказательства,совпадения
