source,target
небольшое,психологическое
доступное,региональное
доступный,региональный
дополнительная,независимая
дополнительный,независимый
течение,объяснение
течения,объяснения
разная,солнечная
разный,солнечный
решение,сотрудничество
решения,сотрудничества
зона,единица
зону,единицу
ближайшее,существенное
ближайший,существенный
губа,империя
губой,империей
программа,цивилизация
программу,цивилизацию
версию,полицию
версия,полиция
тихая,редкая
тихий,редкий
масса,ставка
массу,ставку
номер,стакан
номером,стаканом
карта,забота
карту,заботу
способная,популярная
способный,популярный
тело,мышление
телу,мышлению
возможности,академии
возможностью,академией
обмен,коллектив
обмена,коллектива
затрат,лодок
затрата,лодка
высшая,деревянная
высший,деревянный
декабрь,образец
декабря,образца
истинная,школьная
истинный,школьный
население,утверждение
населения,утверждения
телефонные,крепкие
телефонный,крепкий
творчества,воскресенья
деловая,злая
деловой,злой
обеспечение,кольцо
обеспечения,кольца
множества,напряжения
множество,напряжение
морская,обязательная
морское,обязательное
сельская,дальняя
сельский,дальний
крупная,строгая
крупный,строгий
единственная,противоположная
единственный,противоположный
очередная,ядерная
очередное,ядерное
болезни,подробности
болезнь,подробность
бывшая,уникальная
бывший,уникальный
фигур,эмоций
фигура,эмоция
политическая,воздушная
политический,воздушный
высокий,уголовный
высокое,уголовное
многочисленная,каменная
многочисленный,каменный
отказ,цикл
отказа,цикла
судебная,разумная
судебный,разумный
яркая,успешная
яркий,успешный
понятие,облако
понятия,облака
флот,памятник
флота,памятника
повышение,телевидение
повышения,телевидения
роман,архив
романа,архива
картина,нация
картину,нацию
конкретное,текущее
конкретный,текущий
остальная,правовая
остальной,правовой
фронт,океан
фронта,океана
отсутствие,сохранение
отсутствия,сохранения
сумма,инициатива
сумму,инициативу
масштаб,понедельник
масштаба,понедельника
способности,лекции
способностью,лекцией
понятное,интеллектуальное
понятный,интеллектуальный
культурная,абсолютная
культурный,абсолютный
источник,семинар
источника,семинара
параметр,вуз
параметра,вуза
довольные,юные
довольный,юный
местная,длительная
местный,длительный
регион,автомат
региона,автомата
заказ,меч
заказа,меча
ноябрь,мешок
ноября,мешка
очереди,совести
очередь,совесть
занятие,сообщество
занятию,сообществу
клетка,ассоциация
клетку,ассоциацию
реклама,ракета
рекламы,ракеты
штаб,темп
штабе,темпе
быстрая,привычная
быстрый,привычный
совместная,необычная
совместный,необычный
восточная,бесплатная
восточный,бесплатный
пункт,аргумент
пункта,аргумента
теорию,нужду
теория,нужда
сектор,формат
секторе,формате
позднее,британское
поздний,британский
народная,существующая
народный,существующий
прежнее,промышленное
прежний,промышленный
звук,туалет
звука,туалета
творческие,административные
творческий,административный
февраль,диалог
февраля,диалога
спина,свадьба
спину,свадьбу
югом,прибором
югу,прибору
языками,препаратами
языком,препаратом
аналогичная,самостоятельная
аналогичный,самостоятельный
мгновение,рассмотрение
мгновения,рассмотрения
чтение,обслуживание
чтения,обслуживания
похожая,минимальная
похожий,минимальный
жест,мороз
жестом,морозом
частная,стандартная
частный,стандартный
кухню,записку
кухня,записка
хозяйств,страданий
хозяйство,страдание
станцию,гарантию
станция,гарантия
восторг,космос
восторга,космоса
подъезд,сезон
подъезда,сезона
верная,скромная
верный,скромный
заметное,таковое
заметные,таковые
проведение,воображение
проведения,воображения
тайные,грубые
тайный,грубый
связанная,разнообразная
связанный,разнообразный
личная,глобальная
личный,глобальный
контакт,факультет
контакта,факультета
протяжение,стихотворение
протяжении,стихотворении
одежда,методика
одежду,методику
битва,формула
битву,формулу
файл,потенциал
файла,потенциала
видное,ответственное
видный,ответственный
мистер,волк
крайний,важнейший
крайняя,важнейшая
текст,салон
текста,салона
искусства,столетия
искусство,столетие
сухие,философские
сухого,философского
наркотик,фестиваль
наркотика,фестиваля
холм,кодекс
холма,кодекса
философию,частоту
философия,частота
зависимости,копии
зависимостью,копией
окончание,финансирование
окончанию,финансированию
редакцию,идеологию
редакция,идеология
структура,скала
структуры,скалы
контракт,литр
контракта,литра
крупнейшая,партийная
крупнейший,партийный
беда,лента
беду,ленту
налоговая,потенциальная
налоговый,потенциальный
фонд,идеал
фонду,идеалу
выпуск,парламент
выпуска,парламента
преимущества,соревнования
преимущество,соревнование
телефон,городок
телефона,городка
непосредственное,приличное
непосредственный,приличный
революцию,пенсию
революция,пенсия
создание,единство
создания,единства
газета,статистика
газету,статистику
сообщение,десятилетие
сообщении,десятилетии
известие,умение
известия,умения
вещества,улучшения
вещество,улучшение
производство,яблоко
производством,яблоком
участка,прогресса
участок,прогресс
экзамен,аэродром
экзамена,аэродрома
ролей,корпораций
ролью,корпорацией
победа,дисциплина
победу,дисциплину
обед,миф
обеда,мифа
улыбка,маска
улыбку,маску
август,кремль
августа,кремля
союз,авторитет
союза,авторитета
итальянская,подлинная
итальянский,подлинный
верхний,экологический
верхняя,экологическая
напитка,компонента
напиток,компонент
стиль,вклад
стиля,вклада
изменение,соображение
изменения,соображения
имелся,наблюдался
иметься,наблюдаться
поступка,металла
поступок,металл
непонятная,неправильная
непонятный,неправильный
глухая,теоретическая
глухую,теоретическую
тема,катастрофа
тему,катастрофу
соответствие,окружение
соответствия,окружения
медицинский,окончательный
медицинское,окончательное
летний,металлический
летняя,металлическая
чудесная,печальная
чудесный,печальный
набор,блин
наборы,блины
менеджеру,опросу
менеджеры,опросы
сильная,публичная
сильный,публичный
темнота,платформа
темноту,платформу
отраслей,тонн
отраслями,тоннами
рассказ,сахар
рассказу,сахару
передача,эволюция
передачу,эволюцию
жалоба,пустыня
жалобу,пустыню
карточка,обида
карточку,обиду
солнца,вооружения
солнцу,вооружению
аппарат,гнев
аппарата,гнева
положительное,недавнее
положительный,недавний
услуга,долина
услугу,долину
спортивные,невероятные
спортивный,невероятный
одинаковое,законное
одинаковый,законный
связи,благодарности
связь,благодарность
противное,справедливое
противный,справедливый
трудовая,революционная
трудовые,революционные
всеобщая,взаимная
всеобщий,взаимный
температура,легенда
температуре,легенде
присутствие,установление
присутствием,установлением
цифровая,письменная
цифровые,письменные
страница,тарелка
страницу,тарелку
публика,медицина
публику,медицину
искусственная,виртуальная
искусственный,виртуальный
денежная,тесная
денежный,тесный
младшая,базовая
младший,базовый
очевидная,электрическая
очевидный,электрический
космическая,гигантская
космический,гигантский
банк,словарь
банка,словаря
отечественная,дурная
отечественного,дурного
отличная,вредная
отличный,вредный
прошлой,технологической
прошлый,технологический
достаточные,психические
достаточный,психический
верховное,нравственное
верховный,нравственный
великолепная,закрытая
великолепный,закрытый
знаменитая,химическая
знаменитый,химический
карман,указ
кармана,указа
картинка,община
картинку,общину
фраза,лампа
фразу,лампу
образовательная,двойная
образовательные,двойные
комментировать,поднимать
комментирует,поднимает
объявление,уничтожение
объявления,уничтожения
алкоголь,мотор
алкоголя,мотора
лагерь,приговор
лагерю,приговору
значение,расследование
значению,расследованию
места,соотношения
место,соотношение
отличие,укрепление
отличия,укрепления
атака,пещера
атаку,пещеру
опытные,энергетические
опытный,энергетический
неприятное,совершенное
неприятный,совершенный
килограмм,замысел
килограмма,замысла
июнь,матч
июня,матча
отношение,подтверждение
отношением,подтверждением
крут,указан
крутые,указанные
съезд,департамент
съезда,департамента
обязательства,владения
обязательство,владение
игра,элита
игру,элиту
сервисов,рад
неплохая,любопытная
неплохие,любопытные
явная,коммунистическая
явный,коммунистический
итог,склон
итога,склона
слеза,провинция
слезу,провинцию
перо,познание
перу,познанию
предприятие,любопытство
предприятия,любопытства
обсуждение,голосование
обсуждению,голосованию
чашка,иллюзия
чашку,иллюзию
персонаж,гений
персонажа,гения
римские,невидимые
римский,невидимый
природная,радостная
природный,радостный
голое,социалистическое
голый,социалистический
утреннее,наибольшее
утренний,наибольший
храм,протест
храма,протеста
ясное,бюджетное
ясный,бюджетный
уголке,рассвете
уголок,рассвет
практический,повышенный
практическое,повышенное
рамка,валюта
рамки,валюты
проблема,кабина
проблему,кабину
объективная,системная
объективный,системный
торговлю,куртку
торговля,куртка
ненависть,численность
ненавистью,численностью
тревога,копейка
тревоги,копейки
октябрь,баланс
октября,баланса
жизненное,универсальное
жизненный,универсальный
культура,морда
культуру,морду
состояние,сражение
состояния,сражения
доход,фрагмент
дохода,фрагмента
увеличение,семейство
увеличения,семейства
горные,привлекательные
горный,привлекательный
показатель,социализм
показателя,социализма
нежная,благоприятная
нежный,благоприятный
нарушение,обещание
нарушения,обещания
прогнозов,следователей
прогнозу,следователю
намерение,посольство
намерении,посольстве
мощность,плоть
мощностью,плотью
производственная,скрытая
производственный,скрытый
запрет,платок
запрета,платка
законодательное,коллективное
законодательный,коллективный
вечная,биологическая
вечный,биологический
лишнее,либеральное
лишний,либеральный
сайт,снимок
сайта,снимка
изображение,топливо
изображения,топлива
подушка,монета
подушку,монету
бесполезно,слышно
муниципальная,фундаментальная
муниципальный,фундаментальный
ровное,присущее
ровный,присущий
поиск,вирус
поиска,вируса
сетевого,бурного
сетевые,бурные
плотные,грустные
плотный,грустный
ночную,автомобильную
ночные,автомобильные
морали,последовательности
мораль,последовательность
комитет,арест
комитета,ареста
реакцию,пропаганду
реакция,пропаганда
класс,тариф
класса,тарифа
журналист,робот
журналиста,робота
подписи,усталости
подпись,усталость
таинственной,искренней
таинственный,искренний
распространение,регулирование
распространения,регулирования
смешное,формальное
смешные,формальные
скорая,позитивная
скорый,позитивный
привлечению,несчастью
привлечения,несчастья
ответственности,недвижимости
ответственность,недвижимость
дневник,чемпионат
дневника,чемпионата
одиночества,поступления
одиночество,поступление
мерой,гипотезой
жизней,колоний
жизнью,колонией
лечение,страхование
лечения,страхования
древний,принципиальный
древняя,принципиальная
район,турнир
района,турнира
дождь,грузовик
дождя,грузовика
логическая,контрольная
логический,контрольный
роза,авария
розу,аварию
бассейн,интеллект
бассейна,интеллекта
домик,перечень
домика,перечня
субъект,желудок
субъекта,желудка
сказка,тактика
сказку,тактику
проза,лавка
прозу,лавку
палец,тезис
пальца,тезиса
боевую,значимую
боевые,значимые
труба,компенсация
трубу,компенсацию
назначение,христианство
назначению,христианству
благе,изготовлении
сознание,ведомство
сознанию,ведомству
королевские,правительственные
королевский,правительственный
чемодан,развод
чемодана,развода
служебного,драгоценного
служебный,драгоценный
благодарное,безопасное
благодарный,безопасный
хозяйка,муха
хозяйки,мухи
договор,капитализм
договора,капитализма
устав,полдень
уставу,полудню
велосипед,лозунг
велосипеда,лозунга
длинная,фантастическая
длинный,фантастический
точность,смесь
точностью,смесью
схема,картошка
схему,картошку
коммерческие,загадочные
коммерческий,загадочный
бумажная,студенческая
бумажный,студенческий
вкусная,могучая
вкусный,могучий
блок,конгресс
блока,конгресса
грязная,идеологическая
грязный,идеологический
отель,штраф
отеля,штрафа
продукт,приоритет
продукта,приоритета
фонарь,бензин
фонаря,бензина
исходная,элементарная
исходный,элементарный
анализировать,волновать
анализируют,волнуют
пространства,усиления
пространство,усиление
виноватого,неверного
виноватый,неверный
недовольные,незначительные
недовольный,незначительный
последующее,незаконное
последующий,незаконный
железнодорожное,президентское
железнодорожный,президентский
мокрая,исключительная
мокрый,исключительный
церкви,национальности
церковь,национальность
лап,церемоний
лапа,церемония
управление,возбуждение
управлением,возбуждением
светлая,конституционная
светлый,конституционный
уверенности,стабильности
уверенность,стабильность
германская,альтернативная
германский,альтернативный
лицензию,интерпретацию
лицензия,интерпретация
упражнение,железо
упражнения,железа
грамм,госпиталь
грамма,госпиталя
порог,климат
порога,климата
рыночного,целевого
рыночные,целевые
объяснялась,сопровождалась
объясняться,сопровождаться
собственности,биографии
собственностью,биографией
конференцию,травму
конференция,травма
избирательная,скучная
избирательный,скучный
непрерывное,прошедшее
непрерывный,прошедший
середина,сдача
середину,сдачу
пулю,интеллигенцию
пуля,интеллигенция
размышление,отечество
размышления,отечества
демократический,полноценный
демократическое,полноценное
строка,речка
строке,речке
внедрение,величество
внедрения,величества
вкус,диагноз
вкуса,диагноза
поправка,иллюстрация
поправкой,иллюстрацией
удачная,сибирская
удачный,сибирский
инстинкт,порыв
инстинкта,порыва
пакет,кошмар
пакета,кошмара
профессию,интеграцию
профессия,интеграция
неизбежного,гуманитарного
неизбежный,гуманитарный
стратегический,решающий
стратегическое,решающее
объединение,предпочтение
объединения,предпочтения
зрение,воплощение
зрения,воплощения
коммунизм,ремень
коммунизма,ремня
модная,нелепая
модный,нелепый
рост,индекс
росту,индексу
рубль,сосуд
рубля,сосуда
размер,хаос
размера,хаоса
снижение,самоуправление
снижения,самоуправления
бессмысленная,трагическая
бессмысленный,трагический
вечерний,воинский
вечерняя,воинская
отряд,ритуал
отряду,ритуалу
тяжести,вечности
тяжесть,вечность
несчастная,организационная
несчастный,организационный
умственная,наивная
умственный,наивный
сюжет,дефицит
сюжета,дефицита
вино,поддержание
вину,поддержанию
согласие,программирование
согласию,программированию
худшая,телевизионная
худший,телевизионный
богатства,изобретения
богатство,изобретение
труп,алгоритм
трупы,алгоритмы
предварительная,относительная
предварительный,относительный
мирные,медленные
мирный,медленный
оплата,клиника
оплату,клинику
деятельность,невозможность
деятельностью,невозможностью
дискуссию,тропу
дискуссия,тропа
инвестиционная,механическая
инвестиционный,механический
обучение,раздражение
обучения,раздражения
комиссию,инфляцию
комиссия,инфляция
казнью,шириной
конкуренцию,модернизацию
конкуренция,модернизация
сценарий,митинг
сценария,митинга
потолка,ранга
потолок,ранг
таблетка,коррупция
таблетку,коррупцию
прочая,газовая
прочий,газовый
ужин,подбородок
маркетинг,суп
маркетинга,супа
представление,разочарование
представлению,разочарованию
совещание,гражданство
совещании,гражданстве
музыкальная,прочная
музыкальный,прочный
решительного,должного
решительный,должный
заключение,мужество
заключения,мужества
земного,стабильного
земную,стабильную
рациональное,жирное
рациональный,жирный
негативное,условное
негативный,условный
секретное,регулярное
секретный,регулярный
приятная,адекватная
приятный,адекватный
плоские,таможенные
плоский,таможенный
одеяло,уменьшение
одеялу,уменьшению
подарки,овощи
подарок,овощ
бытового,виновного
бытовые,виновные
пятно,проживание
характерное,сомнительное
характерный,сомнительный
жестокий,болезненный
жестокое,болезненное
оборудование,увлечение
оборудования,увлечения
двигатель,терроризм
двигателя,терроризма
штат,обряд
штатом,обрядом
математические,видимые
математический,видимый
звезда,делегация
звездой,делегацией
успокоился,высказался
успокоиться,высказаться
болей,окраин
болях,окраинах
задний,парламентский
задняя,парламентская
особенные,деревенские
особенный,деревенский
размещение,функционирование
размещения,функционирования
лабораторию,альтернативу
лаборатория,альтернатива
бесполезный,слышный
сурового,специализированного
суровый,специализированный
критическая,перспективная
критический,перспективный
знак,ген
знака,гена
полномочие,крыльцо
полномочия,крыльца
кусков,концентраций
куском,концентрацией
приход,спектр
прихода,спектра
бесконечные,чудовищные
бесконечный,чудовищный
миг,возврат
мигом,возвратом
появление,недоумение
появлением,недоумением
прозрачной,неизменной
прозрачный,неизменный
борода,винтовка
бородой,винтовкой
громадная,долгосрочная
громадный,долгосрочный
ложная,абстрактная
ложный,абстрактный
сознательная,неудачная
сознательный,неудачный
носком,сюрпризом
носок,сюрприз
рынков,доводов
рынок,довод
внимание,окошко
таблица,паника
таблицу,панику
облегчение,сходство
облегчением,сходством
выдающиеся,этнические
выдающийся,этнический
идея,вечеринка
завод,заработок
завода,заработка
царская,новейшая
царский,новейший
освещение,восстание
освещения,восстания
первоначальная,влажная
первоначальный,влажный
беседа,дверца
беседу,дверцу
собеседнике,импульсе
собеседников,импульсов
учреждение,приготовление
учреждений,приготовлений
дата,пирамида
дату,пирамиду
учение,нетерпение
учением,нетерпением
ствол,убыток
стволов,убытков
библию,экономию
библия,экономия
парк,энтузиазм
парка,энтузиазма
гараж,допрос
гараже,допросе
стеклянные,авиационные
стеклянный,авиационный
дону,виску
свойственной,недостаточной
свойственный,недостаточный
славного,смертельного
славный,смертельный
европейская,чрезвычайная
европейский,чрезвычайный
персонального,жилищного
персональный,жилищный
начальная,защитная
начальный,защитный
техническая,пенсионная
технический,пенсионный
паспорт,запуск
паспорту,запуску
стремление,равенство
стремления,равенства
возрождение,писание
возрождения,писания
вопрос,континент
вопроса,континента
подробное,агрессивное
подробный,агрессивный
смелые,уличные
смелый,уличный
субъективная,индийская
субъективный,индийский
равное,колоссальное
равный,колоссальный
авторский,предельный
авторское,предельное
камера,формулировка
камеру,формулировку
возможная,тогдашняя
возможный,тогдашний
бледное,непростое
бледные,непростые
дорожная,фактическая
дорожный,фактический
миной,иерархией
ссылались,ориентировались
ссылаться,ориентироваться
материал,стресс
материала,стресса
своеобразная,экспериментальная
своеобразный,экспериментальный
резкий,цивилизованный
резкое,цивилизованное
замечание,лишение
замечания,лишения
суббота,лампочка
субботу,лампочку
функциональные,последовательные
функциональный,последовательный
публиковать,сжимать
бомба,грамота
бомбу,грамоту
экспедицию,химию
экспедиция,химия
последствие,тысячелетие
последствий,тысячелетий
семейные,автономные
семейный,автономный
приглашение,совпадение
приглашения,совпадения
обстоятельств,поселений
обстоятельство,поселение
трубка,мотивация
трубку,мотивацию
временно,буржуазно
временный,буржуазный
перемена,стихия
восстановление,оказание
восстановления,оказания
атомное,новогоднее
